n,tmax
n,tmax
1,0.02527211
2,0.01877524
3,0.02462211
4,0.02300517
5,0.02509452
6,0.02408389
7,0.02542319
8,0.02446529
9,0.02544963
10,0.02487548
11,0.02540433
12,0.02508819
13,0.02535995
14,0.02517791
15,0.02544295
16,0.02521020
17,0.02546549
18,0.02524958
19,0.02545858
20,0.02531709
21,0.02543717
22,0.02534889
23,0.02544723
24,0.02535942
25,0.02546553
26,0.02535708
27,0.02546795
28,0.02538374
29,0.02546048
30,0.02540284
31,0.02544878
32,0.02541024
33,0.02546399
34,0.02540964
35,0.02546929
36,0.02541152
37,0.02546766
38,0.02542571
39,0.02546116
40,0.02543234
41,0.02546246
42,0.02543340
43,0.02546866
44,0.02543033
45,0.02546978
46,0.02543714
47,0.02546707
48,0.02544339
49,0.02546148
50,0.02544552
60,0.0254523500935
101,0.0254701392578